n_packs, n_bins, n_bins_used, cost, time_limit, running_time,
5,5,1,67.0,300,0.021606597,
6,6,2,113.0,300,0.026343409,
7,7,1,51.0,300,0.028693731,
8,8,2,118.0,300,0.049497385000000005,
9,9,1,67.0,300,0.052721811,
10,10,2,107.0,300,0.082060906,
11,11,1,61.0,300,0.174369515,
12,12,1,52.0,300,0.1004425,
13,13,1,55.0,300,0.13071209,
14,14,2,102.0,300,14.113303828000001,
15,15,2,112.0,300,0.42759859100000003,
16,16,2,121.0,300,0.350531397,
17,17,2,112.0,300,300.01494816900004,
18,18,1,78.0,300,300.01223572600003,
19,19,2,110.0,300,0.6403422080000001,
20,20,3,158.0,300,32.077455919,
21,21,3,189.0,300,295.428118959,
22,22,3,174.0,300,300.01572416100004,
23,23,2,130.0,300,300.02163045500004,
24,24,3,180.0,300,300.017498541,
25,25,2,148.0,300,300.01767922600004,
26,26,3,154.0,300,300.018648819,
27,27,3,166.0,300,300.017702638,
28,28,3,204.0,300,300.01764031700003,
29,29,3,157.0,300,300.020531725,
30,30,3,167.0,300,300.02262284100004,
31,31,3,232.0,300,300.02205433800003,
32,32,3,204.0,300,300.020489841,
33,33,3,179.0,300,300.021581367,
34,34,3,189.0,300,300.023669556,
35,35,4,247.0,300,300.02744877500004,
36,36,3,165.0,300,300.02613700200004,
37,37,4,231.0,300,300.027463141,
38,38,4,229.0,300,300.030158001,
39,39,4,227.0,300,300.030272738,
40,40,5,277.0,300,300.03011779400003,
41,41,4,236.0,300,300.03164267100004,
42,42,5,305.0,300,300.03094625800003,
43,43,5,282.0,300,300.034267767,
44,44,5,284.0,300,300.03029107500004,
45,45,6,351.0,300,300.034817368,
46,46,5,336.0,300,300.036523841,
47,47,5,278.0,300,300.03508596300003,
48,48,5,262.0,300,300.037516341,
49,49,5,286.0,300,300.04077360900004,
50,50,4,241.0,300,300.03820170800003,
51,51,6,348.0,300,300.04396421300004,
52,52,7,390.0,300,300.04915914000003,
53,53,7,396.0,300,300.042444062,
54,54,6,324.0,300,300.044915687,
60,60,6,319.0,300,300.07027824100004,
90,90,9,594.0,300,300.122962745,
120,120,15,814.0,300,300.217503408,
150,150,17,975.0,300,300.41152474800003,
180,180,26,1693.0,300,300.549471288,
210,210,,,300,,
240,240,36,2521.0,300,303.921867894,
270,270,,,300,,
300,300,,,300,,
330,330,,,300,,
350,122,26,11250.0,300,310.289359112,
400,400,,,300,,
450,450,,,300,,
500,500,,,300,,
550,550,,,300,,
600,600,,,300,,
650,650,,,300,,
700,700,,,300,,
750,750,,,300,,
800,800,,,300,,
850,850,,,300,,
900,900,,,300,,
950,950,,,300,,
1000,1000,,,300,,
7,3,2,250.0,300,0.050590341000000004,
