n_packs,n_bins,n_bins_used,cost,time_limit,running_time,
5,5,1,67.0,300,0.015406989000000001,
6,6,2,113.0,300,0.022524431,
7,7,1,51.0,300,0.026864443000000002,
8,8,2,118.0,300,0.054731904000000005,
9,9,1,67.0,300,0.052026444000000005,
10,10,2,107.0,300,0.09161053000000001,
11,11,1,61.0,300,0.165916744,
12,12,1,52.0,300,0.10193785600000001,
13,13,1,55.0,300,0.10455934400000001,
14,14,2,102.0,300,13.980454278000002,
15,15,2,112.0,300,0.378167876,
16,16,2,121.0,300,0.328015863,
17,17,2,112.0,300,300.012583714,
18,18,1,78.0,300,300.00834504600004,
19,19,2,110.0,300,0.613035392,
20,20,3,158.0,300,31.716646176,
21,21,3,189.0,300,273.556935655,
22,22,3,174.0,300,300.01515172200004,
23,23,2,130.0,300,300.013123995,
24,24,3,180.0,300,300.015801198,
25,25,2,148.0,300,300.01559646000004,
26,26,3,154.0,300,300.01805441700003,
27,27,3,166.0,300,300.017868141,
28,28,3,204.0,300,300.018307387,
29,29,3,157.0,300,300.01972502200005,
30,30,3,167.0,300,300.02209291900004,
31,31,3,232.0,300,300.021811872,
32,32,3,204.0,300,300.021330453,
33,33,3,179.0,300,300.02531644000004,
34,34,3,189.0,300,300.028555905,
35,35,4,247.0,300,300.026112407,
36,36,3,165.0,300,300.029062318,
37,37,4,231.0,300,300.03055330200004,
38,38,4,229.0,300,300.027940199,
39,39,4,227.0,300,300.03274395100004,
40,40,5,277.0,300,300.038408318,
41,41,4,236.0,300,300.029147693,
42,42,5,305.0,300,300.030908726,
43,43,5,282.0,300,300.03216971800003,
44,44,5,284.0,300,300.037947896,
45,45,6,351.0,300,300.03225953500004,
46,46,5,337.0,300,300.049305666,
47,47,5,290.0,300,300.03297589100004,
48,48,5,262.0,300,300.035973308,
49,49,4,261.0,300,300.04418098400004,
50,50,4,241.0,300,300.036543041,
51,51,6,348.0,300,300.05333505600004,
52,52,7,390.0,300,300.04365674300004,
53,53,7,396.0,300,300.03957004,
54,54,6,324.0,300,300.043878623,
60,60,6,319.0,300,300.053193352,
90,90,9,594.0,300,300.112351967,
120,120,15,814.0,300,300.21811050900004,
150,150,17,979.0,300,300.41946395400004,
180,180,29,1897.0,300,300.552176039,
210,210,,,300,,
240,240,35,2517.0,300,304.31679781,
270,270,,,300,,
300,300,,,300,,
330,330,,,300,,
350,122,23,9950.0,300,308.35075352800004,
400,400,,,300,,
450,450,,,300,,
500,500,,,300,,
550,550,,,300,,
600,600,,,300,,
650,650,,,300,,
700,700,,,300,,
750,750,,,300,,
800,800,,,300,,
850,850,,,300,,
900,900,,,300,,
950,950,,,300,,
1000,1000,,,300,,
7,3,2,250.0,300,0.050590341000000004,
