n_packs, n_bins, n_bins_used, cost, time_limit, running_time,
5,5,1,67.0,300,0.009283534000000001,
6,6,2,113.0,300,0.013238257000000002,
7,7,1,51.0,300,0.017316605000000002,
8,8,2,118.0,300,0.037919994000000005,
9,9,1,67.0,300,0.030482978,
10,10,2,107.0,300,0.048557506,
11,11,1,61.0,300,0.049391303000000004,
12,12,1,52.0,300,0.056464438000000006,
13,13,1,55.0,300,0.062584596,
14,14,2,102.0,300,14.936346403000002,
15,15,2,112.0,300,0.910835728,
16,16,2,121.0,300,0.28390181400000003,
17,17,2,112.0,300,300.008097653,
18,18,1,78.0,300,300.00838404300004,
19,19,2,110.0,300,0.19012353,
20,20,3,158.0,300,26.825194638000003,
21,21,3,189.0,300,300.014195137,
22,22,3,174.0,300,300.013870586,
23,23,2,130.0,300,300.011862926,
24,24,3,180.0,300,300.013296362,
25,25,2,148.0,300,300.011661826,
26,26,3,154.0,300,300.013622747,
27,27,3,166.0,300,300.01521461000004,
28,28,3,204.0,300,300.015914995,
29,29,3,157.0,300,300.016864171,
30,30,3,167.0,300,300.02049950900005,
31,31,3,232.0,300,300.02045954100004,
32,32,3,204.0,300,300.02015484400005,
33,33,3,179.0,300,300.01937117200004,
34,34,3,189.0,300,300.01588943900003,
35,35,4,247.0,300,300.01498303,
36,36,3,165.0,300,300.02213894700003,
37,37,4,231.0,300,300.02301692500004,
38,38,4,229.0,300,300.02213202900003,
39,39,4,227.0,300,300.02418274900003,
40,40,5,277.0,300,300.021144063,
41,41,4,239.0,300,300.02094563400004,
42,42,5,305.0,300,300.023539903,
43,43,4,255.0,300,300.022541792,
44,44,5,284.0,300,300.02235164800004,
45,45,7,364.0,300,300.025791222,
46,46,5,335.0,300,300.03028569900005,
47,47,5,259.0,300,300.02667563700004,
48,48,5,262.0,300,300.028592687,
49,49,4,257.0,300,300.02764852300004,
50,50,4,241.0,300,300.04829860300003,
51,51,6,347.0,300,300.03049257600003,
52,52,6,395.0,300,300.02980860900004,
53,53,7,416.0,300,300.036542494,
54,54,5,291.0,300,300.030662552,
60,60,6,324.0,300,300.033186004,
90,90,9,598.0,300,300.088189972,
120,120,14,778.0,300,300.166597501,
150,150,16,929.0,300,300.295661584,
180,180,23,1399.0,300,300.468811092,
210,210,22,1302.0,300,300.69003652500004,
240,240,37,2484.0,300,300.989969345,
270,270,,,300,,
300,300,,,300,,
330,330,,,300,,
350,122,13,4500.0,300,301.11916604600003,
400,400,,,300,,
450,450,,,300,,
500,500,,,300,,
550,550,,,300,,
600,600,,,300,,
650,650,,,300,,
700,700,,,300,,
750,750,,,300,,
800,800,,,300,,
850,850,,,300,,
900,900,,,300,,
950,950,,,300,,
1000,1000,,,300,,
7,3,2,250.0,300,0.050590341000000004,
