35 70
8 1
4 4
10 9
8 5
8 8
7 2
9 1
6 2
6 1
3 5
8 7
6 8
6 6
10 9
2 1
5 10
5 2
8 6
4 7
5 10
10 5
2 4
1 8
8 4
5 9
8 7
6 8
9 8
10 4
1 4
4 5
2 7
6 2
3 3
4 5
10 20 71
14 14 76
16 14 68
17 10 93
17 11 72
11 19 90
19 18 87
17 20 90
18 14 78
16 15 51
20 16 83
16 13 91
11 18 97
11 16 51
20 20 88
17 18 84
20 20 74
11 18 52
13 16 50
12 14 99
13 18 84
11 15 59
18 10 70
12 10 62
18 12 87
16 14 87
17 17 55
13 16 96
16 17 87
12 17 83
18 13 89
17 19 99
13 19 53
13 10 53
18 14 94
20 20 62
15 13 65
20 18 54
13 11 58
19 12 77
17 10 86
12 14 92
18 19 59
20 14 78
11 17 72
20 20 60
17 18 100
20 12 68
10 13 88
19 11 66
19 10 80
10 15 77
19 16 60
14 17 61
11 18 95
20 16 52
12 20 80
19 14 60
11 13 53
11 12 64
10 18 91
18 12 75
14 15 75
19 17 67
15 17 95
19 19 78
16 15 97
14 14 90
19 11 50
20 12 56
