44 88
6 9
2 8
2 5
3 10
5 7
6 10
10 4
9 9
4 5
5 5
1 8
8 6
9 10
9 9
4 10
5 7
9 7
10 8
3 3
10 4
5 9
6 3
8 4
7 3
7 8
4 2
4 3
7 7
9 8
3 3
4 6
1 4
5 8
10 1
10 6
9 8
9 8
6 2
10 1
3 10
2 9
5 5
8 4
5 8
12 11 57
13 13 63
15 16 94
10 14 92
17 10 55
11 10 73
19 17 78
11 20 65
16 12 89
20 12 78
15 11 94
12 11 55
16 14 58
19 17 88
13 19 50
11 17 62
20 17 88
18 18 71
17 10 95
16 20 54
15 15 61
15 11 64
13 13 56
19 16 81
10 13 67
13 13 95
15 15 50
16 15 78
19 12 74
10 18 99
10 15 91
11 12 68
11 16 62
11 12 64
15 11 62
16 10 83
10 15 62
14 18 62
11 19 73
13 12 64
10 17 71
11 14 87
18 18 54
20 18 59
18 17 75
15 13 69
15 16 96
19 16 87
19 10 60
18 20 76
20 20 72
11 14 72
16 11 75
17 10 83
11 10 90
12 18 53
18 18 52
20 14 100
12 20 58
14 11 81
18 20 61
13 19 70
12 18 83
13 15 71
20 18 70
16 11 72
18 13 53
19 19 93
13 18 89
19 10 89
16 19 100
10 12 92
19 17 91
10 20 77
10 16 66
15 16 95
13 20 56
11 11 90
11 13 60
15 16 65
12 15 59
19 17 86
14 13 68
10 11 86
16 20 72
19 16 70
18 16 89
18 17 64
