41 82
10 10
10 9
9 2
1 5
4 1
7 1
3 5
2 3
6 10
2 4
7 4
10 1
7 4
7 7
8 1
4 6
6 3
5 8
4 5
5 2
7 1
8 5
6 5
1 10
3 8
9 4
8 7
10 10
4 5
8 6
6 3
4 9
3 2
3 8
2 10
10 7
10 2
6 7
9 8
2 3
2 2
19 12 79
19 19 88
17 17 63
13 19 83
10 12 82
17 10 81
13 17 53
12 16 54
11 10 95
11 15 91
16 11 93
13 18 100
14 17 61
10 12 58
15 13 81
18 19 91
14 18 70
18 15 88
17 17 89
19 12 62
18 18 72
11 19 77
19 20 95
14 12 62
17 15 84
11 10 62
17 15 62
10 17 61
13 15 90
12 10 94
19 17 96
13 20 86
12 18 95
19 11 89
16 14 74
14 17 94
15 16 56
15 11 78
13 10 61
11 15 67
15 11 71
18 19 64
12 16 90
15 13 55
14 11 99
15 13 56
19 13 62
12 10 73
15 16 62
15 15 63
14 14 79
12 18 86
12 11 75
15 16 71
20 15 50
15 18 77
15 16 56
20 12 83
12 18 68
20 11 81
12 20 91
19 15 94
14 14 87
17 13 75
10 15 78
20 15 82
19 11 93
12 10 62
17 19 81
10 12 64
10 10 55
14 20 66
16 11 96
19 12 81
12 16 64
19 12 95
18 14 95
11 15 62
18 15 50
14 14 100
18 12 79
14 16 64
