34 68
9 8
4 2
6 5
8 9
3 5
1 5
2 8
8 10
9 3
4 2
5 9
1 3
6 6
6 7
9 7
2 4
4 6
7 3
3 8
8 7
6 5
7 8
3 7
7 4
2 3
3 9
8 7
2 9
5 5
4 6
2 4
8 1
1 2
2 3
18 19 78
20 13 62
18 11 51
16 14 67
17 10 64
16 10 81
13 16 97
13 11 58
18 10 88
15 20 96
15 19 72
17 15 79
9 19 89
12 20 75
17 18 97
20 18 91
15 14 55
15 15 52
17 15 84
12 12 54
15 15 79
14 11 79
12 16 82
14 14 98
20 13 58
20 18 89
19 20 100
16 10 66
11 17 58
20 16 85
10 10 76
19 18 71
19 20 52
9 19 92
16 18 99
9 11 71
15 12 59
16 16 67
9 17 82
19 10 78
11 20 50
14 14 61
19 12 97
15 12 95
18 16 63
13 17 61
14 13 90
14 20 81
20 12 82
13 14 82
18 18 53
10 12 51
16 18 77
15 17 51
12 18 97
20 20 93
12 16 87
16 17 62
14 16 85
19 12 85
13 20 76
17 19 57
18 19 71
16 17 83
11 11 83
15 19 68
19 14 69
17 10 69
