32 64
5 1
2 4
9 10
6 7
8 7
9 6
10 6
3 8
4 10
9 1
9 9
1 10
2 10
3 8
3 8
8 2
9 9
6 4
3 4
6 9
8 9
3 10
4 10
5 6
5 2
2 3
9 3
6 8
3 2
5 6
9 1
7 2
18 12 72
10 14 77
20 10 56
19 17 97
10 20 81
20 14 85
15 10 81
12 10 92
10 13 98
20 19 60
13 19 59
13 15 74
18 11 77
19 12 77
12 12 91
10 10 73
16 20 93
19 16 50
18 18 99
19 16 83
18 11 80
20 11 58
19 18 83
18 13 63
17 20 70
20 14 98
11 18 55
18 11 53
15 12 81
14 11 53
10 20 85
14 15 72
20 17 70
10 19 63
18 10 76
18 16 96
14 12 87
18 19 59
20 14 62
11 16 69
15 11 57
12 14 59
13 20 64
17 16 97
16 12 96
13 10 61
10 18 60
20 14 96
17 11 61
15 11 94
17 11 91
15 16 63
12 13 100
17 11 81
13 19 92
19 16 100
12 12 75
10 11 50
20 15 55
13 19 90
13 17 80
18 20 64
16 18 82
18 17 89
